Entity,Code,Year,Average IQ change (Pietschnig and Voracek (2015)) (IQ points)
Argentina,ARG,1998,24.48
Australia,AUS,1995,24.78
Austria,AUT,2000,9.12
Belgium,BEL,1967,7.29
Brazil,BRA,2007,-9.24
Bulgaria,BGR,1973,6.72
Canada,CAN,1976,13.2
China,CHN,2011,5.94
Denmark,DNK,2004,7.65
Dominica,DMA,1983,17.64
Estonia,EST,2006,12.07
Finland,FIN,2009,4.2
France,FRA,1993,24.2
Germany,DEU,2008,31.2
Ireland,IRL,1972,6.6
Israel,ISR,1984,7.54
Japan,JPN,1975,24.48
Kenya,KEN,1998,25.06
Netherlands,NLD,2005,19.08
New Zealand,NZL,1978,10.08
Norway,NOR,2002,11.04
Saudi Arabia,SAU,2013,12.6
South Africa,ZAF,1987,3.84
South Korea,KOR,1999,7.28
Spain,ESP,2000,17.02
Sudan,SDN,2007,12.04
Sweden,SWE,2004,23
Switzerland,CHE,1981,21.6
Turkey,TUR,2010,5.28
United Kingdom,GBR,2008,8.36
United States,USA,2006,32.98
